pis_score,ls2slct,ls3-mpss,ls4-lcs,ls5-uss,ls6-dc,ls1-totalEnglish,ls1-totalFilipino,flt-overall-score,level
10,9,9,6,7,6,8,8,63,JHS
10,7,8,6,6,8,8,8,61,JHS
9,4,6,5,5,5,6,6,46,JHS
9,9,10,6,8,6,8,8,64,JHS
9,3,7,5,5,4,5,7,45,JHS
10,8,7,6,6,6,8,8,59,JHS
10,8,8,6,6,6,8,8,60,JHS
10,9,10,6,6,6,8,8,63,JHS
9,8,9,6,9,4,10,14,69,SHS
8,10,11,10,7,9,14,14,83,SHS
10,13,14,7,10,7,12,14,87,SHS
9,13,15,9,9,10,15,15,95,SHS
9,13,15,10,10,10,15,13,95,SHS
10,7,10,9,9,7,10,11,73,SHS
9,13,15,9,9,10,15,15,95,SHS
9,9,10,9,9,7,10,12,75,SHS
10,11,14,10,10,9,14,15,93,SHS
9,8,10,7,7,5,12,13,71,SHS
10,7,6,6,10,6,11,12,68,SHS
10,10,11,9,10,8,13,15,86,SHS
9,12,13,10,10,10,15,13,92,SHS
10,6,7,10,7,8,13,14,75,SHS
9,8,10,7,7,5,12,10,68,SHS
10,7,10,7,10,3,12,15,74,SHS
10,9,14,9,9,9,13,12,85,SHS
10,7,8,8,9,2,9,8,61,JHS
8,2,3,9,9,7,8,7,53,JHS
10,6,11,7,9,10,11,13,77,SHS
10,7,10,9,9,7,6,11,69,SHS
9,12,15,10,10,10,13,15,94,SHS
10,9,9,11,9,9,13,10,80,SHS
10,10,9,10,9,9,13,13,83,SHS
10,10,9,11,9,9,14,12,84,SHS
10,10,9,11,9,9,14,12,84,SHS
9,9,10,10,9,9,14,12,82,SHS
9,9,10,11,9,9,13,13,83,SHS
9,9,9,5,8,7,15,15,77,SHS
9,9,9,5,8,7,15,15,77,SHS
9,9,10,9,8,7,15,13,80,SHS
8,9,9,9,8,7,14,12,76,SHS
9,9,10,9,9,7,15,14,82,SHS
9,10,10,10,9,7,15,14,84,SHS
10,10,10,10,10,10,16,16,92,SHS
9,15,10,12,10,10,14,14,94,SHS
10,9,14,10,10,10,13,12,88,SHS
10,7,9,10,10,10,12,13,81,SHS
10,12,15,10,10,9,11,10,87,SHS
10,8,12,9,9,10,11,11,80,SHS
10,8,13,8,10,10,13,13,85,SHS
10,10,8,7,10,10,14,14,83,SHS
10,10,12,9,10,10,12,13,86,SHS
10,9,13,9,10,9,12,13,85,SHS
10,13,18,10,10,9,14,13,97,SHS
10,10,10,8,8,8,14,12,80,SHS
10,13,15,9,8,10,14,12,91,SHS
10,13,15,10,10,10,14,13,95,SHS
10,10,14,8,10,10,14,12,88,SHS
10,10,10,10,10,10,16,16,92,SHS
9,10,7,7,7,8,10,11,69,SHS
10,7,13,7,7,5,11,13,73,SHS
10,10,9,10,10,9,14,13,85,SHS
10,10,10,10,10,9,13,13,85,SHS
10,10,9,9,10,10,12,13,83,SHS
10,9,10,10,9,10,12,13,83,SHS
10,9,9,10,10,10,13,13,84,SHS
10,12,14,9,10,10,12,13,90,SHS
10,12,12,10,10,10,13,13,90,SHS
10,12,14,9,10,8,13,13,89,SHS
10,9,10,10,9,10,13,12,83,SHS
10,11,12,10,10,10,13,13,89,SHS
10,2,11,12,10,10,13,12,80,SHS
10,12,13,10,10,10,12,13,90,SHS
9,10,10,10,9,7,15,14,84,SHS
